payment_id,customer_id,session_id,attempt_ts,method,card_bin,payment_country,ip_hash,device_id,amount,result,is_fraud_label
PAY0000016,C01648,S000036,2025-11-16 22:29:50,google_pay,471343,DE,3675637623d14be8,dev_12211425cf91,42.42,success,0
PAY0000017,C01791,S000043,2025-11-28 05:59:01,google_pay,433382,FR,fedc8c563af44e38,dev_dd8eb234c59e,36.53,success,0
PAY0000018,C01791,S000043,2025-11-18 21:52:18,paypal,431930,NL,fedc8c563af44e38,dev_df2ab01acbd9,44.08,success,0
PAY0000019,C01791,S000043,2025-11-12 22:59:01,paypal,478665,DE,fedc8c563af44e38,dev_0c1aa01064c9,55.01,success,0
PAY0000020,C00223,S000045,2025-12-06 10:25:48,paypal,472740,DE,6b5c414082f44df4,dev_15a68ab63627,99.48,success,0
PAY0000021,C00672,S000048,2025-12-16 07:37:20,google_pay,407377,FR,058489cd679e4fde,dev_3daf86a25cbd,54.62,success,0
PAY0000022,C02155,S000052,2025-11-04 14:22:51,apple_pay,407023,BE,2e2860ec82254cc2,dev_66139d3f008f,103.78,success,0
PAY0000023,C02155,S000052,2025-11-30 04:57:27,card,444446,IT,2e2860ec82254cc2,dev_73efa2317d1d,76.06,success,0
PAY0000024,C01950,S000055,2025-11-22 17:53:04,apple_pay,414306,ES,bca7607dbfdb41f0,dev_c9f6dd246c7b,151.21,failed,0
PAY0000025,C01950,S000055,2025-11-17 16:41:52,paypal,407934,NL,bca7607dbfdb41f0,dev_42884b0c68ec,53.23,success,0
PAY0000026,C00549,S000063,2025-11-30 10:37:44,apple_pay,473540,DE,2fe701fea03b447f,dev_b80f1e73f41e,80.33,failed,0
PAY0000027,C01894,S000065,2025-11-19 07:07:56,card,443105,NL,01371df9da804906,dev_e72b52a13f5f,116.98,failed,0
PAY0000028,C01894,S000065,2025-12-31 12:12:02,apple_pay,421946,IT,01371df9da804906,dev_5c9bb3bf281a,88.56,success,0
PAY0000029,C01894,S000065,2025-11-07 16:26:33,paypal,474787,IT,01371df9da804906,dev_29294c664c45,61.77,success,0
PAY0000030,C00945,S000076,2025-11-18 14:01:13,card,443977,FR,8996a4b2a1dd453e,dev_6de9cb3f0355,53.55,failed,0
PAY0000031,C00945,S000076,2025-12-23 03:34:32,google_pay,442732,FR,8996a4b2a1dd453e,dev_7829d6a35859,27.81,success,0
PAY0000032,C00945,S000076,2025-12-15 13:20:05,apple_pay,405634,PT,8996a4b2a1dd453e,dev_032aae81e39e,59.87,success,0
PAY0000033,C00926,S000077,2025-12-09 11:32:36,google_pay,475722,FR,8b3049ae59e64c2d,dev_534e1229b97d,44.03,success,0
PAY0000034,C02051,S000078,2025-11-03 03:11:44,google_pay,426242,IT,d7bac4c3c2d54b03,dev_47396253dc71,52.26,success,0
PAY0000035,C01788,S000081,2025-12-06 12:54:45,card,487259,FR,531e9f6abfa64c11,dev_459cdd4eb039,68.26,success,0
PAY0000036,C02247,S000082,2025-12-06 05:37:01,google_pay,448489,GB,413f5c0a477d4aae,dev_81ebe3fa0596,33.03,failed,0
PAY0000037,C02247,S000082,2025-12-28 09:01:35,google_pay,461467,ES,413f5c0a477d4aae,dev_9d08840915a2,42.66,success,0
PAY0000038,C00052,S000086,2025-11-23 13:50:13,apple_pay,407048,IT,60e3283b504445d3,dev_13ebf4f0ced4,79.38,failed,0
PAY0000039,C00052,S000086,2025-11-30 19:45:53,card,492828,FR,60e3283b504445d3,dev_93b0cf4dfe46,37.74,success,0
PAY0000040,C00229,S000108,2025-12-14 23:28:06,paypal,466458,PT,52a322c01ff743d2,dev_667bd50e2c4b,65.34,success,0
PAY0000041,C00150,S000109,2025-11-03 17:39:11,paypal,428606,DE,eeec821738244f9c,dev_53827bb8f81d,35.49,success,0
PAY0000042,C01625,S000111,2025-12-27 18:49:28,card,454077,IT,5c840cd8b2e24df8,dev_17414692ee2f,84.51,success,0
PAY0000043,C00333,S000112,2025-12-18 16:36:40,google_pay,459999,BE,6042be3d62044f88,dev_0a697ae4d977,89.63,failed,0
PAY0000044,C01085,S000116,2025-11-02 21:46:07,apple_pay,429329,BE,119e3f74df9a4d07,dev_30c23bd52238,116.25,success,0
PAY0000045,C00819,S000117,2025-12-14 06:09:57,google_pay,439253,IT,062d57ef56084d3a,dev_435b99c58018,116.79,success,0
PAY0000046,C01613,S000120,2025-12-26 22:21:15,paypal,476848,IT,fa74ddbb4b5244a9,dev_d52d19c60e9f,75.44,failed,0
PAY0000047,C01613,S000120,2025-12-03 04:06:27,apple_pay,475224,BE,fa74ddbb4b5244a9,dev_fa1d6c68a665,30.18,success,0
PAY0000048,C01534,S000138,2025-12-18 22:29:22,card,486681,DE,ccfce6c4235242eb,dev_549dcdbee891,66.75,success,0
PAY0000049,C02371,S000142,2025-11-19 04:49:25,google_pay,494980,DE,8811b39f4f174810,dev_766756b2e882,81.95,success,0
PAY0000050,C00848,S000143,2025-12-29 14:49:43,google_pay,490440,DE,5624e250fa774e83,dev_4bc2b66a7e49,70.42,success,0
PAY0000051,C00177,S000148,2025-11-06 12:10:21,apple_pay,472235,ES,477aba03511e4abc,dev_856fe3a2674c,140.93,success,0
PAY0000052,C02130,S000157,2025-12-29 06:58:41,google_pay,438123,NL,dcf09c55ddb24a2e,dev_3eebfd750a0c,119.58,success,0
PAY0000053,C02130,S000157,2025-12-09 18:17:39,card,412183,NL,dcf09c55ddb24a2e,dev_52bd053a5325,67.48,success,0
PAY0000054,C01149,S000163,2025-12-05 10:29:37,apple_pay,401464,PT,b7e50b47efe14879,dev_e9267e7e503e,93.28,success,0
PAY0000055,C02181,S000166,2025-11-01 18:14:34,card,414583,ES,6dee3e953dd14ef4,dev_bdd23b85fdea,34.47,success,0
PAY0000056,C00002,S000178,2025-12-03 08:06:09,card,469126,PT,b523a2f51c6d4565,dev_5fc97395bfc7,72.61,success,0
PAY0000057,C00864,S000181,2025-12-15 01:20:59,card,464531,DE,833874e632d84eda,dev_d268ddef7b14,37.76,success,0
PAY0000058,C01877,S000182,2025-12-25 08:35:09,card,488759,BE,093d3316e58a42b1,dev_68cbb9032045,61.52,success,0
PAY0000059,C01877,S000182,2025-12-23 19:47:24,google_pay,457846,ES,093d3316e58a42b1,dev_8f73f4f0f72e,49.13,success,0
PAY0000060,C01134,S000188,2025-12-08 08:42:07,apple_pay,422891,FR,01f2cb5602214cd6,dev_a6f5d0cde01e,49.75,failed,0
PAY0000061,C01621,S000190,2025-12-22 03:44:27,google_pay,441448,NL,5add7614fdcc41b6,dev_b5c97c2d6a1d,46.27,failed,0
PAY0000062,C01838,S000191,2025-11-05 11:51:03,paypal,452989,ES,b88c7a396f814e2e,dev_d3109ed22060,55.7,success,0
PAY0000063,C01838,S000191,2025-12-09 23:00:36,card,401426,BE,b88c7a396f814e2e,dev_c518fb85466a,51.56,success,0
PAY0000064,C01285,S000198,2025-12-05 22:51:58,card,448372,GB,d427c88138104d18,dev_24880a90d4b3,88.68,success,0
PAY0000065,C00656,S000203,2025-12-12 21:24:18,paypal,464994,GB,e6f8949da7154eb6,dev_71d2cbf6aab8,59.21,success,0
PAY0000066,C01347,S000220,2025-11-27 05:34:08,paypal,434367,GB,3cb464780a83434c,dev_f2d2d2a78969,65.33,success,0
PAY0000067,C02422,S000227,2025-12-11 21:44:46,card,450986,BE,d178fbb93c204f92,dev_e00b110e9bd1,76.02,success,0
PAY0000068,C02422,S000227,2025-12-27 16:54:28,google_pay,415147,IT,d178fbb93c204f92,dev_1321cfd7571d,75.91,success,0
PAY0000069,C02422,S000227,2025-12-10 14:58:15,google_pay,445720,BE,d178fbb93c204f92,dev_731bcda79309,41.22,success,0
PAY0000070,C00957,S000229,2025-12-16 08:57:44,card,409232,PT,7f23d73c81fa4da3,dev_be4cf502e677,59.21,success,0
PAY0000071,C00957,S000229,2025-11-09 15:36:25,apple_pay,481958,DE,7f23d73c81fa4da3,dev_30342a917590,74.2,success,0
PAY0000072,C01782,S000233,2025-11-06 07:48:41,paypal,427288,PT,119676e3695449b7,dev_929ec5a7727f,44.86,success,0
PAY0000073,C00549,S000246,2025-11-14 09:31:45,google_pay,484834,GB,1a26b05e8a204195,dev_9b44e02b5e19,42.64,success,0
PAY0000074,C00549,S000246,2025-11-26 11:36:04,apple_pay,490150,GB,1a26b05e8a204195,dev_f4fd393f673b,39.33,success,0
PAY0000075,C00798,S000247,2025-11-04 18:52:19,card,425325,GB,39799c505879414f,dev_b65deff0ee94,73.03,success,0
PAY0000076,C02183,S000251,2025-12-18 20:58:51,card,486977,GB,d6ae3b2c4c82450d,dev_ebab8939fe2a,58.43,success,0
PAY0000077,C01584,S000252,2025-11-11 05:54:26,google_pay,484751,BE,ce79b64e2b694675,dev_f9dcf4f4b97d,62.3,success,0
PAY0000078,C01584,S000252,2025-11-18 08:57:59,google_pay,431028,ES,ce79b64e2b694675,dev_55271e48a8a1,29.93,success,0
PAY0000079,C00792,S000260,2025-11-18 22:46:25,card,476137,ES,4768049189d0478c,dev_e62f77d3b510,68.85,success,0
PAY0000080,C01162,S000266,2025-11-24 12:46:07,google_pay,470093,ES,d71c95c4c44941c2,dev_d01cac174181,70.41,success,0
PAY0000081,C01534,S000268,2025-12-20 18:14:25,google_pay,466204,BE,8f00c1c0002949d4,dev_48c3122dbbf5,75.08,success,0
PAY0000082,C01978,S000276,2025-12-26 04:29:08,google_pay,405350,GB,db8b20947b2d4011,dev_837fddf83a67,127.61,success,0
PAY0000083,C00361,S000277,2025-12-11 02:42:17,card,419137,GB,86b24442810340b8,dev_3413ba557e72,47.38,failed,0
PAY0000084,C02270,S000279,2025-11-10 11:43:37,paypal,405369,DE,14bc3affb60d4214,dev_3e269950f06b,83.05,success,0
PAY0000085,C00878,S000286,2025-12-22 19:01:36,apple_pay,404873,NL,d6cd887be7a9417c,dev_6181fdf24b3c,77.52,success,0
PAY0000086,C02175,S000294,2025-11-05 16:41:47,paypal,492161,DE,9a775b66d80543aa,dev_0cc696a35725,81.85,failed,0
PAY0000087,C00392,S000295,2025-11-30 04:10:21,card,437516,IT,92edd66d440f4bb8,dev_1d86d0f918ba,57.99,success,0
PAY0000088,C00993,S000296,2025-11-15 06:22:41,apple_pay,432949,FR,5d5270c8da314651,dev_b0e3b460c906,94.03,success,0
PAY0000089,C02322,S000298,2025-12-07 17:40:24,card,406145,GB,deb0eadfb1c84922,dev_ac4df2f14a17,48.03,success,0
PAY0000090,C01238,S000304,2025-12-09 17:02:52,paypal,485161,GB,2ded6e35fe6241d8,dev_db24f68b3e25,53.98,failed,0
PAY0000091,C00224,S000306,2025-12-12 01:09:03,card,413581,DE,5d51625310064963,dev_0bccaf3a2e12,61.35,success,0
PAY0000092,C01465,S000311,2025-11-22 21:07:27,google_pay,425552,PT,5693ed4a42ee442e,dev_8b80629ee780,60.15,success,0
PAY0000093,C01465,S000311,2025-12-16 09:49:28,google_pay,484843,GB,5693ed4a42ee442e,dev_e86af1c3dce4,78.9,success,0
PAY0000094,C01628,S000316,2025-11-04 07:44:07,paypal,483365,NL,97c40385f9e14562,dev_ac789766be88,74.97,success,0
PAY0000095,C01544,S000319,2025-11-09 17:32:38,google_pay,456291,GB,44c4bb5805b744ef,dev_ca47fa1375c4,75.26,success,0
PAY0000096,C01544,S000319,2025-12-04 18:54:40,paypal,481825,NL,44c4bb5805b744ef,dev_3f06c8c40119,120.88,success,0
PAY0000097,C00720,S000330,2025-12-15 06:53:58,card,499612,ES,8871f34575c24132,dev_065b3d187ec9,60.73,failed,0
PAY0000098,C00720,S000330,2025-11-29 09:50:14,card,414190,GB,8871f34575c24132,dev_77bc3979df01,107.26,success,0
PAY0000099,C02416,S000340,2025-12-14 13:08:13,paypal,408571,IT,c69145e55df24d1d,dev_b133e1f6a535,41.3,failed,0
PAY0000100,C00464,S000350,2025-12-19 20:48:14,apple_pay,483775,NL,87f82e88e13f4f31,dev_2c1da797c994,62.95,success,0
PAY0000101,C00464,S000350,2025-12-21 22:16:59,paypal,462230,DE,87f82e88e13f4f31,dev_f2679e5438a6,64.7,success,0
PAY0000102,C00464,S000350,2025-11-28 08:33:00,apple_pay,497046,DE,87f82e88e13f4f31,dev_0accfa9e2c45,37.01,success,0
PAY0000103,C00333,S000355,2025-12-07 02:09:17,paypal,445839,PT,fa5e4f0160884a51,dev_8afd695823c2,68.05,success,0
PAY0000104,C00333,S000355,2025-12-07 16:52:28,card,474283,GB,fa5e4f0160884a51,dev_2c1f818916cf,70.25,success,0
PAY0000105,C00190,S000359,2025-12-27 14:03:35,google_pay,482028,FR,1cde358e38174fd8,dev_7b7ca9933c2c,87.25,failed,0
PAY0000106,C00190,S000359,2025-12-20 07:11:15,paypal,457408,FR,1cde358e38174fd8,dev_64cda31b12ed,82.84,failed,0
PAY0000107,C00190,S000359,2025-11-22 14:51:33,apple_pay,471570,FR,1cde358e38174fd8,dev_7c735f5f92dc,37.53,success,0
PAY0000108,C01913,S000360,2025-11-15 13:30:50,google_pay,424236,DE,48dd8ab8a2984814,dev_4543542abfb2,114.23,success,0
PAY0000109,C00296,S000361,2025-12-28 18:39:23,apple_pay,464864,NL,5cf6d3d4c8b84be8,dev_00880a0cff69,54.16,success,0
PAY0000110,C00215,S000366,2025-12-23 21:06:29,apple_pay,411392,PT,8b07c9c493244419,dev_3cb716f4cef4,50.8,success,0
PAY0000111,C01549,S000388,2025-11-13 00:51:49,apple_pay,426891,DE,ab5279971ee74d9a,dev_3b8ad4e37c93,83.15,success,0
PAY0000112,C02320,S000397,2025-11-04 17:18:55,apple_pay,491544,ES,5597b89e6825417d,dev_90576c7cc503,97.81,failed,0
PAY0000113,C02320,S000397,2025-11-14 01:22:24,paypal,459478,GB,5597b89e6825417d,dev_87bfb6652538,53.92,success,0
PAY0000114,C02320,S000397,2025-12-20 23:33:41,google_pay,438488,BE,5597b89e6825417d,dev_2d762a4e84f6,65.37,success,0
PAY0000115,C00527,S000399,2025-12-02 00:42:40,google_pay,412254,FR,2ae7d43b31c74b9f,dev_3e48e9a8ceca,100.49,success,0
PAY0000116,C00527,S000399,2025-11-28 18:37:44,google_pay,469463,ES,2ae7d43b31c74b9f,dev_30a029ac5204,43.87,failed,0
PAY0000117,C01556,S000404,2025-11-05 06:27:31,google_pay,493577,ES,cb4dfc37d23a474d,dev_d9a679644de9,18.93,success,0
PAY0000118,C02029,S000405,2025-11-25 03:10:24,card,402497,NL,e567f4d3b1cd4174,dev_905dc8bd0033,84.94,success,0
PAY0000119,C02029,S000405,2025-12-12 17:41:20,card,402976,IT,e567f4d3b1cd4174,dev_cf11e1411634,100.66,success,0
PAY0000120,C02029,S000405,2025-11-14 10:23:39,paypal,466276,ES,e567f4d3b1cd4174,dev_7c11927dfd29,32.54,success,0
PAY0000121,C00454,S000407,2025-11-10 10:09:03,google_pay,416854,FR,56af5ecfd6cd4722,dev_f6c248a2b000,66.08,success,0
PAY0000122,C00454,S000407,2025-12-16 20:31:04,card,450817,BE,56af5ecfd6cd4722,dev_0bad8c004102,53.3,success,0
PAY0000123,C00454,S000407,2025-11-10 22:56:31,google_pay,411907,PT,56af5ecfd6cd4722,dev_34a5e388deae,70.66,success,0
PAY0000124,C00746,S000408,2025-12-25 11:49:09,paypal,453142,GB,8bcd6400d62e4d7f,dev_8875435878c5,26.29,success,0
PAY0000125,C00868,S000412,2025-12-14 22:28:12,apple_pay,429436,ES,5b3c799977274b94,dev_af60f55e0cc9,37.7,success,0
PAY0000126,C00868,S000412,2025-11-06 20:18:33,paypal,424685,PT,5b3c799977274b94,dev_b909b2555370,81.61,failed,0
PAY0000127,C00543,S000415,2025-12-13 03:39:24,card,444840,DE,4a2f143f52e04b86,dev_b7e34b550166,62.81,success,0
PAY0000128,C00385,S000427,2025-11-16 11:48:57,card,484182,DE,1b8e0d912fd8422d,dev_5173fb8f46e0,131.24,success,0
PAY0000129,C01943,S000436,2025-12-18 14:05:35,card,446283,ES,3e61b678d3314fac,dev_503f5ddf2e26,86.91,success,0
PAY0000130,C01943,S000436,2025-12-29 19:05:41,paypal,462891,FR,3e61b678d3314fac,dev_2e9b15c6c8ca,43.23,success,0
PAY0000131,C01943,S000436,2025-11-02 01:40:15,paypal,466495,NL,3e61b678d3314fac,dev_cf29314ea8a7,92.18,success,0
PAY0000132,C00228,S000438,2025-11-07 14:05:17,paypal,467095,NL,a5520ac8f4ca42cb,dev_2dbdb16b951d,143.85,failed,0
PAY0000133,C00228,S000438,2025-11-03 21:36:39,google_pay,491228,BE,a5520ac8f4ca42cb,dev_e3978fed66b3,64.55,success,0
PAY0000134,C00411,S000439,2025-11-14 18:47:52,card,491163,BE,e0c973687aa44fd0,dev_b3a919d15290,79.94,success,0
PAY0000135,C00411,S000439,2025-12-19 17:32:08,paypal,415677,FR,e0c973687aa44fd0,dev_bfc83bcfad3b,96.68,success,0
PAY0000136,C00691,S000440,2025-12-01 20:17:47,paypal,452925,DE,308d4a89b2cc42a4,dev_a5f3df7f0134,61.86,failed,0
PAY0000137,C02110,S000443,2025-12-03 20:29:14,google_pay,470527,DE,fc86f01aa51b4a75,dev_24f0e2e193e4,25.74,success,0
PAY0000138,C02110,S000443,2025-12-20 10:00:46,card,494492,NL,fc86f01aa51b4a75,dev_4c6e1319f60b,85.64,success,0
PAY0000139,C00300,S000465,2025-11-15 05:09:03,apple_pay,451102,PT,9640426f66ee4080,dev_7a5b6353a225,95.57,success,0
PAY0000140,C02045,S000474,2025-12-19 21:15:03,apple_pay,470230,NL,b49a5b1dc5224388,dev_043c80c6d26a,128.82,success,0
PAY0000141,C01648,S000475,2025-12-06 18:01:00,card,456209,IT,a31e2df989144f27,dev_7ea0046d4337,40.65,failed,0
PAY0000142,C01783,S000480,2025-11-30 05:42:31,google_pay,404762,ES,458b2ab3265746fe,dev_48d33949d629,41.5,success,0
PAY0000143,C01274,S000483,2025-12-25 22:21:43,card,418451,NL,a8e34bfd845b46b9,dev_875bb298330d,48.91,success,0
PAY0000144,C01250,S000484,2025-11-22 21:33:24,apple_pay,412027,ES,290839cd29864bb2,dev_48eef59aa883,61.83,success,0
PAY0000145,C01250,S000484,2025-12-21 22:54:50,paypal,475636,GB,290839cd29864bb2,dev_684554bac58b,84.97,success,0
PAY0000146,C01296,S000485,2025-11-25 07:23:53,card,408148,NL,aa4da78c84744809,dev_95f953bb74b4,40.27,failed,0
PAY0000147,C00328,S000486,2025-11-22 16:53:20,apple_pay,494257,PT,35b7951b46764dcc,dev_88d0d8bc3393,102.22,success,0
PAY0000148,C00328,S000486,2025-12-26 16:45:39,paypal,489276,DE,35b7951b46764dcc,dev_e9fbcd4d1afc,99.93,success,0
PAY0000149,C01184,S000494,2025-11-07 15:14:30,card,443074,ES,797b1dd18c614791,dev_41799493c7c4,101.22,success,0
PAY0000150,C00373,S000495,2025-11-05 07:30:07,google_pay,406508,FR,172756f7a85f4400,dev_6f5c330bbd51,57.99,success,0
PAY0000151,C01605,S000499,2025-11-22 09:57:09,apple_pay,497481,GB,013a40eac6814c06,dev_dc11bfd26dc4,24.39,failed,0
PAY0000152,C00274,S000502,2025-12-18 05:02:44,paypal,411152,BE,4e23eb6f68eb49a2,dev_6af6678737f7,137.08,success,0
PAY0000153,C00274,S000502,2025-12-09 15:25:29,paypal,494868,NL,4e23eb6f68eb49a2,dev_fc4c08158783,51.07,success,0
PAY0000154,C01811,S000511,2025-11-22 11:36:51,google_pay,483912,IT,0493b9042dd84860,dev_baf226e03f21,92.1,success,0
PAY0000155,C01811,S000511,2025-12-28 20:02:36,apple_pay,415312,FR,0493b9042dd84860,dev_c3cca2c970b0,70.44,success,0
PAY0000156,C00744,S000514,2025-12-16 04:18:55,paypal,435999,FR,6b56240652004f98,dev_bcc8571d7a8a,110.82,success,0
PAY0000157,C00051,S000515,2025-11-10 16:26:32,google_pay,445083,GB,fdc7428fbcd94bdb,dev_eb76430ef33a,65.16,success,0
PAY0000158,C00056,S000517,2025-12-02 14:21:26,apple_pay,418897,FR,72fae963809940cc,dev_e0deea83fc72,68.78,success,0
PAY0000159,C00056,S000517,2025-12-05 12:38:55,google_pay,416059,ES,72fae963809940cc,dev_0507d53399bf,72.31,failed,0
PAY0000160,C02476,S000519,2025-11-29 12:52:59,google_pay,418245,GB,951b1f1af7e44bd0,dev_961443819d74,80.47,success,0
PAY0000161,C00443,S000520,2025-11-10 19:24:10,google_pay,487865,BE,e0ff82fc86f04071,dev_0cbf89fcda1d,38.25,success,0
PAY0000162,C00377,S000525,2025-12-19 09:22:30,google_pay,425797,PT,5e456f4b0b7d4ef9,dev_72d0828667f3,155.09,success,0
PAY0000163,C00441,S000527,2025-12-21 02:39:42,apple_pay,487248,GB,198418a8622843cc,dev_edbb2302719c,64.6,success,0
PAY0000164,C00141,S000536,2025-12-23 01:22:09,google_pay,413748,PT,8f052e7cdd144764,dev_a2a3064c12cb,86.38,success,0
PAY0000165,C01730,S000539,2025-11-06 01:38:07,google_pay,467849,IT,1d6ea3ff7aa4476f,dev_31c27e8ae14a,131.91,success,0
PAY0000166,C01994,S000542,2025-11-01 01:20:58,paypal,449921,DE,58bd201240f64ebe,dev_529c87235951,66.45,success,0
PAY0000167,C01041,S000548,2025-11-17 00:16:49,apple_pay,472672,FR,661c32c7dc8e439b,dev_261c25c5d92b,42.6,success,0
PAY0000168,C00315,S000549,2025-12-12 14:52:51,apple_pay,403562,FR,75424ec5ccb1498d,dev_6c39e307b85e,41.99,success,0
PAY0000169,C00854,S000555,2025-12-10 02:25:28,google_pay,443264,PT,1784bc6732b84c58,dev_b1719758d49a,54.47,success,0
PAY0000170,C00854,S000555,2025-12-08 11:40:28,google_pay,499663,FR,1784bc6732b84c58,dev_fa832295d14a,77.48,success,0
PAY0000171,C00854,S000555,2025-12-28 18:19:02,card,495065,DE,1784bc6732b84c58,dev_018ee1a60d69,81.21,success,0
PAY0000172,C01303,S000564,2025-11-23 01:53:44,google_pay,450408,PT,987db4dc16754e0d,dev_82100422dab6,110.88,success,0
PAY0000173,C00299,S000568,2025-12-11 20:51:34,apple_pay,473419,NL,85265c7a07344b0f,dev_b1538dd216e6,33.4,success,0
PAY0000174,C02079,S000573,2025-12-14 20:37:11,paypal,441032,ES,9f4faaf33ce740ac,dev_45dcdc254d1c,73.68,success,0
PAY0000175,C01677,S000589,2025-11-17 10:04:16,apple_pay,478860,ES,bee2ea204d1540fa,dev_d08c9596073c,87.98,success,0
PAY0000176,C02100,S000626,2025-11-15 21:13:28,paypal,464070,BE,30144d2c90d64b57,dev_14565be4db77,86.5,success,0
PAY0000177,C00195,S000633,2025-11-18 18:52:45,google_pay,437888,ES,476c31500229457e,dev_33f1bb3e810a,22.48,success,0
PAY0000178,C01523,S000640,2025-11-04 23:49:03,card,409374,ES,00a251f9b5654ab2,dev_2c82849fdce3,56.41,success,0
PAY0000179,C01523,S000640,2025-11-27 08:59:58,paypal,471164,IT,00a251f9b5654ab2,dev_364589396a34,96.18,success,0
PAY0000180,C00562,S000642,2025-12-08 09:21:40,apple_pay,474210,GB,a63dda01bdd9425e,dev_ecd40c11ca41,46.27,success,0
PAY0000181,C00562,S000642,2025-12-22 05:37:22,google_pay,458583,IT,a63dda01bdd9425e,dev_148813286931,39.1,success,0
PAY0000182,C01480,S000644,2025-11-22 21:28:10,paypal,402242,PT,6cd9b35b18c646fb,dev_d6e481fd4cd0,85.95,success,0
PAY0000183,C01480,S000644,2025-12-18 16:43:38,card,427959,ES,6cd9b35b18c646fb,dev_ce8c5e61df47,76.3,success,0
PAY0000184,C00657,S000647,2025-12-26 09:53:54,card,408594,IT,a27416861c654340,dev_31f5342df84c,73.97,success,0
PAY0000185,C01885,S000657,2025-11-03 04:13:43,card,400764,NL,35b464daeb194ce5,dev_4a277e93c7e3,49.86,failed,0
PAY0000186,C01841,S000663,2025-11-19 11:32:36,google_pay,457115,BE,6ab84da06b53468d,dev_3c977eab0f29,36.91,success,0
PAY0000187,C00019,S000666,2025-11-23 20:28:39,paypal,467371,ES,0ec20c9c2484440a,dev_2c59b50d12d5,102.23,success,0
PAY0000188,C00019,S000666,2025-11-25 11:55:14,paypal,476317,GB,0ec20c9c2484440a,dev_a72fdb8ba96b,299.41,success,0
PAY0000189,C00721,S000669,2025-11-27 22:40:25,google_pay,412409,IT,52a171bcabd44cf6,dev_98d1b6697301,32.17,success,0
PAY0000190,C02145,S000675,2025-12-21 08:55:17,paypal,419386,DE,efbb9643f43c4b94,dev_cf0dab69b3e2,105.54,success,0
PAY0000191,C02145,S000675,2025-12-01 13:53:31,google_pay,464195,GB,efbb9643f43c4b94,dev_afeaef2597fa,61.74,success,0
PAY0000192,C02168,S000676,2025-11-14 00:52:37,card,423510,IT,db5cd64511a54b76,dev_6d31b616c423,76.92,success,0
PAY0000193,C01177,S000678,2025-11-23 16:17:39,paypal,427338,IT,b5d46c7692ae4b4f,dev_29016f2c607a,64.92,success,0
PAY0000194,C01796,S000680,2025-11-29 00:49:56,card,413552,PT,d0590d6c67d045f0,dev_a6053b502d0e,179.08,success,0
PAY0000195,C01167,S000682,2025-12-30 09:52:15,google_pay,403124,DE,7f9235ff9bd945f8,dev_c74aa2753465,46.48,success,0
PAY0000196,C01363,S000692,2025-12-16 17:14:51,card,403195,BE,b91682c419284e3c,dev_a3e24cc55b9b,50.87,success,0
PAY0000197,C00926,S000693,2025-12-21 09:53:31,apple_pay,490421,DE,4bcb4204cb794eca,dev_64715d0b7f94,69.01,success,0
PAY0000198,C02406,S000696,2025-11-16 12:53:43,google_pay,493939,BE,c8f85b111aea4edf,dev_b33b0415e7c2,86.09,success,0
