order_id,customer_id,session_id,payment_id,order_ts,total_amount,currency,shipping_method,status
O0000055,C02422,S000227,PAY0000067,2025-12-11 21:44:46,76.02,EUR,express,paid
O0000056,C02422,S000227,PAY0000068,2025-12-27 16:54:28,75.91,EUR,express,paid
O0000057,C02422,S000227,PAY0000069,2025-12-10 14:58:15,41.22,EUR,pickup_point,paid
O0000058,C00957,S000229,PAY0000070,2025-12-16 08:57:44,59.21,EUR,standard,paid
O0000059,C00957,S000229,PAY0000071,2025-11-09 15:36:25,74.2,EUR,standard,paid
O0000060,C01782,S000233,PAY0000072,2025-11-06 07:48:41,44.86,EUR,express,paid
O0000061,C00549,S000246,PAY0000073,2025-11-14 09:31:45,42.64,EUR,standard,paid
O0000062,C00549,S000246,PAY0000074,2025-11-26 11:36:04,39.33,EUR,pickup_point,paid
O0000063,C00798,S000247,PAY0000075,2025-11-04 18:52:19,73.03,EUR,standard,paid
O0000064,C02183,S000251,PAY0000076,2025-12-18 20:58:51,58.43,EUR,pickup_point,paid
O0000065,C01584,S000252,PAY0000077,2025-11-11 05:54:26,62.3,EUR,pickup_point,paid
O0000066,C01584,S000252,PAY0000078,2025-11-18 08:57:59,29.93,EUR,pickup_point,paid
O0000067,C00792,S000260,PAY0000079,2025-11-18 22:46:25,68.85,EUR,pickup_point,paid
O0000068,C01162,S000266,PAY0000080,2025-11-24 12:46:07,70.41,EUR,standard,paid
O0000069,C01534,S000268,PAY0000081,2025-12-20 18:14:25,75.08,EUR,standard,paid
O0000070,C01978,S000276,PAY0000082,2025-12-26 04:29:08,127.61,EUR,pickup_point,paid
O0000071,C02270,S000279,PAY0000084,2025-11-10 11:43:37,83.05,EUR,express,paid
O0000072,C00878,S000286,PAY0000085,2025-12-22 19:01:36,77.52,EUR,express,paid
O0000073,C00392,S000295,PAY0000087,2025-11-30 04:10:21,57.99,EUR,pickup_point,paid
O0000074,C00993,S000296,PAY0000088,2025-11-15 06:22:41,94.03,EUR,pickup_point,paid
O0000075,C02322,S000298,PAY0000089,2025-12-07 17:40:24,48.03,EUR,express,paid
O0000076,C00224,S000306,PAY0000091,2025-12-12 01:09:03,61.35,EUR,standard,paid
O0000077,C01465,S000311,PAY0000092,2025-11-22 21:07:27,60.15,EUR,standard,paid
O0000078,C01465,S000311,PAY0000093,2025-12-16 09:49:28,78.9,EUR,express,paid
O0000079,C01628,S000316,PAY0000094,2025-11-04 07:44:07,74.97,EUR,pickup_point,paid
O0000080,C01544,S000319,PAY0000095,2025-11-09 17:32:38,75.26,EUR,pickup_point,paid
O0000081,C01544,S000319,PAY0000096,2025-12-04 18:54:40,120.88,EUR,standard,paid
O0000082,C00720,S000330,PAY0000098,2025-11-29 09:50:14,107.26,EUR,standard,paid
O0000083,C00464,S000350,PAY0000100,2025-12-19 20:48:14,62.95,EUR,pickup_point,paid
O0000084,C00464,S000350,PAY0000101,2025-12-21 22:16:59,64.7,EUR,standard,paid
O0000085,C00464,S000350,PAY0000102,2025-11-28 08:33:00,37.01,EUR,express,paid
O0000086,C00333,S000355,PAY0000103,2025-12-07 02:09:17,68.05,EUR,express,paid
O0000087,C00333,S000355,PAY0000104,2025-12-07 16:52:28,70.25,EUR,standard,paid
O0000088,C00190,S000359,PAY0000107,2025-11-22 14:51:33,37.53,EUR,pickup_point,paid
O0000089,C01913,S000360,PAY0000108,2025-11-15 13:30:50,114.23,EUR,express,paid
O0000090,C00296,S000361,PAY0000109,2025-12-28 18:39:23,54.16,EUR,standard,paid
O0000091,C00215,S000366,PAY0000110,2025-12-23 21:06:29,50.8,EUR,standard,paid
O0000092,C01549,S000388,PAY0000111,2025-11-13 00:51:49,83.15,EUR,pickup_point,paid
O0000093,C02320,S000397,PAY0000113,2025-11-14 01:22:24,53.92,EUR,standard,paid
O0000094,C02320,S000397,PAY0000114,2025-12-20 23:33:41,65.37,EUR,express,paid
O0000095,C00527,S000399,PAY0000115,2025-12-02 00:42:40,100.49,EUR,standard,paid
O0000096,C01556,S000404,PAY0000117,2025-11-05 06:27:31,18.93,EUR,pickup_point,paid
O0000097,C02029,S000405,PAY0000118,2025-11-25 03:10:24,84.94,EUR,standard,paid
O0000098,C02029,S000405,PAY0000119,2025-12-12 17:41:20,100.66,EUR,express,paid
O0000099,C02029,S000405,PAY0000120,2025-11-14 10:23:39,32.54,EUR,express,paid
O0000100,C00454,S000407,PAY0000121,2025-11-10 10:09:03,66.08,EUR,standard,paid
O0000101,C00454,S000407,PAY0000122,2025-12-16 20:31:04,53.3,EUR,pickup_point,paid
O0000102,C00454,S000407,PAY0000123,2025-11-10 22:56:31,70.66,EUR,express,paid
O0000103,C00746,S000408,PAY0000124,2025-12-25 11:49:09,26.29,EUR,pickup_point,paid
O0000104,C00868,S000412,PAY0000125,2025-12-14 22:28:12,37.7,EUR,pickup_point,paid
O0000105,C00543,S000415,PAY0000127,2025-12-13 03:39:24,62.81,EUR,express,paid
O0000106,C00385,S000427,PAY0000128,2025-11-16 11:48:57,131.24,EUR,standard,paid
O0000107,C01943,S000436,PAY0000129,2025-12-18 14:05:35,86.91,EUR,pickup_point,paid
O0000108,C01943,S000436,PAY0000130,2025-12-29 19:05:41,43.23,EUR,standard,paid
O0000109,C01943,S000436,PAY0000131,2025-11-02 01:40:15,92.18,EUR,pickup_point,paid
O0000110,C00228,S000438,PAY0000133,2025-11-03 21:36:39,64.55,EUR,express,paid
O0000111,C00411,S000439,PAY0000134,2025-11-14 18:47:52,79.94,EUR,pickup_point,paid
O0000112,C00411,S000439,PAY0000135,2025-12-19 17:32:08,96.68,EUR,standard,paid
O0000113,C02110,S000443,PAY0000137,2025-12-03 20:29:14,25.74,EUR,standard,paid
O0000114,C02110,S000443,PAY0000138,2025-12-20 10:00:46,85.64,EUR,pickup_point,paid
O0000115,C00300,S000465,PAY0000139,2025-11-15 05:09:03,95.57,EUR,pickup_point,paid
O0000116,C02045,S000474,PAY0000140,2025-12-19 21:15:03,128.82,EUR,pickup_point,paid
O0000117,C01783,S000480,PAY0000142,2025-11-30 05:42:31,41.5,EUR,express,paid
O0000118,C01274,S000483,PAY0000143,2025-12-25 22:21:43,48.91,EUR,standard,paid
O0000119,C01250,S000484,PAY0000144,2025-11-22 21:33:24,61.83,EUR,pickup_point,paid
O0000120,C01250,S000484,PAY0000145,2025-12-21 22:54:50,84.97,EUR,standard,paid
O0000121,C00328,S000486,PAY0000147,2025-11-22 16:53:20,102.22,EUR,standard,paid
O0000122,C00328,S000486,PAY0000148,2025-12-26 16:45:39,99.93,EUR,standard,paid
O0000123,C01184,S000494,PAY0000149,2025-11-07 15:14:30,101.22,EUR,standard,paid
O0000124,C00373,S000495,PAY0000150,2025-11-05 07:30:07,57.99,EUR,pickup_point,paid
O0000125,C00274,S000502,PAY0000152,2025-12-18 05:02:44,137.08,EUR,standard,paid
O0000126,C00274,S000502,PAY0000153,2025-12-09 15:25:29,51.07,EUR,standard,paid
O0000127,C01811,S000511,PAY0000154,2025-11-22 11:36:51,92.1,EUR,express,paid
O0000128,C01811,S000511,PAY0000155,2025-12-28 20:02:36,70.44,EUR,pickup_point,paid
O0000129,C00744,S000514,PAY0000156,2025-12-16 04:18:55,110.82,EUR,standard,paid
O0000130,C00051,S000515,PAY0000157,2025-11-10 16:26:32,65.16,EUR,standard,paid
O0000131,C00056,S000517,PAY0000158,2025-12-02 14:21:26,68.78,EUR,pickup_point,paid
O0000132,C02476,S000519,PAY0000160,2025-11-29 12:52:59,80.47,EUR,pickup_point,paid
O0000133,C00443,S000520,PAY0000161,2025-11-10 19:24:10,38.25,EUR,standard,paid
O0000134,C00377,S000525,PAY0000162,2025-12-19 09:22:30,155.09,EUR,express,paid
O0000135,C00441,S000527,PAY0000163,2025-12-21 02:39:42,64.6,EUR,express,paid
O0000136,C00141,S000536,PAY0000164,2025-12-23 01:22:09,86.38,EUR,pickup_point,paid
O0000137,C01730,S000539,PAY0000165,2025-11-06 01:38:07,131.91,EUR,pickup_point,paid
O0000138,C01994,S000542,PAY0000166,2025-11-01 01:20:58,66.45,EUR,express,paid
O0000139,C01041,S000548,PAY0000167,2025-11-17 00:16:49,42.6,EUR,express,paid
O0000140,C00315,S000549,PAY0000168,2025-12-12 14:52:51,41.99,EUR,express,paid
O0000141,C00854,S000555,PAY0000169,2025-12-10 02:25:28,54.47,EUR,express,paid
O0000142,C00854,S000555,PAY0000170,2025-12-08 11:40:28,77.48,EUR,express,paid
O0000143,C00854,S000555,PAY0000171,2025-12-28 18:19:02,81.21,EUR,pickup_point,paid
O0000144,C01303,S000564,PAY0000172,2025-11-23 01:53:44,110.88,EUR,pickup_point,paid
O0000145,C00299,S000568,PAY0000173,2025-12-11 20:51:34,33.4,EUR,pickup_point,paid
O0000146,C02079,S000573,PAY0000174,2025-12-14 20:37:11,73.68,EUR,pickup_point,paid
O0000147,C01677,S000589,PAY0000175,2025-11-17 10:04:16,87.98,EUR,standard,paid
O0000148,C02100,S000626,PAY0000176,2025-11-15 21:13:28,86.5,EUR,express,paid
O0000149,C00195,S000633,PAY0000177,2025-11-18 18:52:45,22.48,EUR,express,paid
O0000150,C01523,S000640,PAY0000178,2025-11-04 23:49:03,56.41,EUR,pickup_point,paid
O0000151,C01523,S000640,PAY0000179,2025-11-27 08:59:58,96.18,EUR,express,paid
O0000152,C00562,S000642,PAY0000180,2025-12-08 09:21:40,46.27,EUR,standard,paid
O0000153,C00562,S000642,PAY0000181,2025-12-22 05:37:22,39.1,EUR,standard,paid
O0000154,C01480,S000644,PAY0000182,2025-11-22 21:28:10,85.95,EUR,standard,paid
O0000155,C01480,S000644,PAY0000183,2025-12-18 16:43:38,76.3,EUR,pickup_point,paid
O0000156,C00657,S000647,PAY0000184,2025-12-26 09:53:54,73.97,EUR,express,paid
O0000157,C01841,S000663,PAY0000186,2025-11-19 11:32:36,36.91,EUR,standard,paid
O0000158,C00019,S000666,PAY0000187,2025-11-23 20:28:39,102.23,EUR,standard,paid
O0000159,C00019,S000666,PAY0000188,2025-11-25 11:55:14,299.41,EUR,express,paid
O0000160,C00721,S000669,PAY0000189,2025-11-27 22:40:25,32.17,EUR,express,paid
O0000161,C02145,S000675,PAY0000190,2025-12-21 08:55:17,105.54,EUR,standard,paid
O0000162,C02145,S000675,PAY0000191,2025-12-01 13:53:31,61.74,EUR,standard,paid
O0000163,C02168,S000676,PAY0000192,2025-11-14 00:52:37,76.92,EUR,express,paid
O0000164,C01177,S000678,PAY0000193,2025-11-23 16:17:39,64.92,EUR,pickup_point,paid
O0000165,C01796,S000680,PAY0000194,2025-11-29 00:49:56,179.08,EUR,express,paid
O0000166,C01167,S000682,PAY0000195,2025-12-30 09:52:15,46.48,EUR,pickup_point,paid
O0000167,C01363,S000692,PAY0000196,2025-12-16 17:14:51,50.87,EUR,standard,paid
O0000168,C00926,S000693,PAY0000197,2025-12-21 09:53:31,69.01,EUR,pickup_point,paid
O0000169,C02406,S000696,PAY0000198,2025-11-16 12:53:43,86.09,EUR,pickup_point,paid
O0000170,C00060,S000698,PAY0000199,2025-11-09 09:07:22,121.6,EUR,standard,paid
O0000171,C00060,S000698,PAY0000200,2025-11-08 14:31:46,83.2,EUR,standard,paid
O0000172,C00311,S000701,PAY0000201,2025-12-22 04:25:26,73.81,EUR,pickup_point,paid
O0000173,C02449,S000716,PAY0000203,2025-11-28 12:40:40,83.98,EUR,express,paid
O0000174,C01344,S000717,PAY0000204,2025-12-22 15:50:09,48.37,EUR,express,paid
O0000175,C01344,S000717,PAY0000206,2025-11-08 21:06:01,60.46,EUR,standard,paid
O0000176,C02365,S000719,PAY0000207,2025-12-21 09:49:13,42.86,EUR,standard,paid
O0000177,C00606,S000734,PAY0000208,2025-12-04 06:00:48,134.48,EUR,express,paid
O0000178,C00606,S000734,PAY0000210,2025-11-06 14:16:26,55.85,EUR,express,paid
O0000179,C00478,S000735,PAY0000211,2025-12-13 02:48:47,32.68,EUR,standard,paid
O0000180,C00508,S000736,PAY0000212,2025-11-02 23:40:22,61.83,EUR,express,paid
O0000181,C00508,S000736,PAY0000213,2025-12-26 00:16:29,81.05,EUR,pickup_point,paid
O0000182,C00508,S000736,PAY0000214,2025-12-11 16:45:08,44.34,EUR,standard,paid
O0000183,C00461,S000742,PAY0000215,2025-11-17 06:28:20,29.41,EUR,pickup_point,paid
O0000184,C01845,S000746,PAY0000216,2025-11-21 04:14:49,56.33,EUR,pickup_point,paid
O0000185,C00668,S000749,PAY0000217,2025-11-23 13:05:29,62.15,EUR,pickup_point,paid
O0000186,C00668,S000749,PAY0000218,2025-11-19 21:44:10,59.99,EUR,pickup_point,paid
O0000187,C00239,S000755,PAY0000220,2025-11-24 20:03:09,77.53,EUR,express,paid
O0000188,C02430,S000760,PAY0000222,2025-11-04 20:38:17,77.36,EUR,standard,paid
O0000189,C02430,S000760,PAY0000223,2025-11-25 11:15:56,77.14,EUR,express,paid
O0000190,C01045,S000766,PAY0000225,2025-11-06 07:37:47,43.77,EUR,pickup_point,paid
O0000191,C00013,S000794,PAY0000227,2025-12-22 20:37:00,62.44,EUR,pickup_point,paid
O0000192,C00811,S000811,PAY0000229,2025-11-11 00:09:20,68.06,EUR,pickup_point,paid
O0000193,C00566,S000818,PAY0000230,2025-11-30 07:44:26,47.43,EUR,pickup_point,paid
O0000194,C00924,S000821,PAY0000232,2025-11-23 20:31:18,37.5,EUR,standard,paid
O0000195,C01102,S000827,PAY0000233,2025-11-27 22:11:54,92.03,EUR,standard,paid
O0000196,C01889,S000836,PAY0000234,2025-12-28 03:52:29,59.43,EUR,standard,paid
O0000197,C00610,S000847,PAY0000236,2025-12-29 02:04:49,84.17,EUR,pickup_point,paid
O0000198,C00705,S000851,PAY0000237,2025-11-05 04:46:36,79.61,EUR,pickup_point,paid
O0000199,C02287,S000852,PAY0000238,2025-11-05 09:35:46,46.66,EUR,standard,paid
O0000200,C00800,S000855,PAY0000239,2025-11-12 03:09:43,68.83,EUR,standard,paid
O0000201,C00800,S000855,PAY0000240,2025-11-24 03:22:43,93.69,EUR,standard,paid
O0000202,C00920,S000867,PAY0000242,2025-12-21 08:03:43,36.2,EUR,express,paid
O0000203,C01493,S000878,PAY0000243,2025-11-03 22:48:24,103.9,EUR,pickup_point,paid
O0000204,C00252,S000886,PAY0000244,2025-12-14 06:08:17,93.7,EUR,standard,paid
O0000205,C00001,S000895,PAY0000245,2025-11-18 09:37:47,33.94,EUR,standard,paid
O0000206,C00439,S000914,PAY0000247,2025-11-01 10:03:16,96.24,EUR,pickup_point,paid
O0000207,C01391,S000933,PAY0000248,2025-11-15 10:10:55,50.92,EUR,express,paid
O0000208,C01999,S000948,PAY0000249,2025-12-01 08:30:27,36.74,EUR,pickup_point,paid
O0000209,C01999,S000948,PAY0000250,2025-11-12 13:45:23,41.11,EUR,standard,paid
O0000210,C01559,S000953,PAY0000251,2025-11-03 18:36:50,63.5,EUR,standard,paid
O0000211,C01559,S000953,PAY0000252,2025-12-13 01:43:03,101.37,EUR,express,paid
O0000212,C00885,S000970,PAY0000253,2025-12-24 03:01:09,40.88,EUR,express,paid
O0000213,C00382,S000972,PAY0000255,2025-11-17 18:11:13,58.18,EUR,pickup_point,paid
O0000214,C02381,S000974,PAY0000256,2025-12-07 11:47:55,90.87,EUR,standard,paid
O0000215,C00871,S000982,PAY0000257,2025-11-17 02:21:52,146.82,EUR,express,paid
O0000216,C02151,S000983,PAY0000258,2025-12-26 22:33:59,69.38,EUR,standard,paid
O0000217,C01224,S000984,PAY0000259,2025-12-03 04:48:23,49.22,EUR,express,paid
O0000218,C00865,S000985,PAY0000260,2025-11-14 01:30:28,46.6,EUR,express,paid
O0000219,C01078,S000992,PAY0000263,2025-12-27 05:33:49,72.76,EUR,standard,paid
O0000220,C01078,S000992,PAY0000264,2025-12-31 15:12:03,120.66,EUR,standard,paid
O0000221,C02287,S000998,PAY0000265,2025-11-29 19:09:37,62.1,EUR,pickup_point,paid
O0000222,C02287,S000998,PAY0000266,2025-12-17 06:56:34,41.0,EUR,pickup_point,paid
O0000223,C00846,S001000,PAY0000268,2025-12-07 10:43:04,69.88,EUR,pickup_point,paid
O0000224,C00392,S001002,PAY0000269,2025-11-09 08:44:34,82.41,EUR,standard,paid
O0000225,C01041,S001003,PAY0000270,2025-11-01 09:31:02,86.52,EUR,express,paid
O0000226,C01041,S001003,PAY0000271,2025-11-10 15:40:32,84.18,EUR,pickup_point,paid
O0000227,C01041,S001003,PAY0000272,2025-11-05 06:43:33,76.19,EUR,standard,paid
O0000228,C02047,S001005,PAY0000273,2025-12-25 21:55:18,90.44,EUR,pickup_point,paid
O0000229,C02047,S001005,PAY0000274,2025-12-31 12:03:34,122.37,EUR,pickup_point,paid
O0000230,C01573,S001008,PAY0000276,2025-11-25 16:10:46,59.17,EUR,pickup_point,paid
O0000231,C02217,S001009,PAY0000277,2025-12-24 20:28:22,95.32,EUR,express,paid
O0000232,C00118,S001018,PAY0000278,2025-12-18 18:49:11,64.54,EUR,standard,paid
O0000233,C00136,S001021,PAY0000279,2025-11-12 05:58:42,37.76,EUR,express,paid
O0000234,C02212,S001033,PAY0000280,2025-11-03 04:42:05,77.46,EUR,pickup_point,paid
O0000235,C02212,S001033,PAY0000281,2025-11-13 06:48:08,53.46,EUR,pickup_point,paid
O0000236,C02352,S001039,PAY0000283,2025-11-04 07:22:48,104.27,EUR,express,paid
O0000237,C01561,S001044,PAY0000284,2025-12-26 11:51:09,112.37,EUR,pickup_point,paid
O0000238,C02303,S001054,PAY0000285,2025-11-05 01:00:41,67.95,EUR,pickup_point,paid
O0000239,C00615,S001057,PAY0000286,2025-12-31 01:14:57,76.69,EUR,express,paid
O0000240,C00615,S001057,PAY0000287,2025-11-04 15:47:42,57.16,EUR,standard,paid
O0000241,C00359,S001070,PAY0000289,2025-12-08 05:09:28,44.24,EUR,pickup_point,paid
O0000242,C00359,S001070,PAY0000290,2025-11-25 15:12:31,174.42,EUR,pickup_point,paid
O0000243,C00443,S001071,PAY0000291,2025-11-13 16:11:03,79.73,EUR,standard,paid
O0000244,C00853,S001075,PAY0000292,2025-12-25 14:44:19,36.77,EUR,express,paid
O0000245,C01757,S001078,PAY0000293,2025-11-21 00:30:43,102.79,EUR,express,paid
O0000246,C01757,S001078,PAY0000294,2025-12-26 02:44:32,217.12,EUR,pickup_point,paid
O0000247,C00788,S001092,PAY0000295,2025-11-06 13:50:12,33.41,EUR,pickup_point,paid
O0000248,C02429,S001093,PAY0000296,2025-12-07 09:48:46,87.37,EUR,express,paid
O0000249,C01364,S001100,PAY0000297,2025-12-08 02:27:59,40.24,EUR,pickup_point,paid
O0000250,C01256,S001107,PAY0000300,2025-12-18 08:16:37,69.1,EUR,express,paid
O0000251,C01256,S001107,PAY0000301,2025-11-22 09:24:23,81.43,EUR,express,paid
O0000252,C01256,S001107,PAY0000302,2025-12-06 00:49:49,35.76,EUR,express,paid
O0000253,C00483,S001111,PAY0000303,2025-12-07 04:34:40,81.44,EUR,pickup_point,paid
O0000254,C00858,S001126,PAY0000305,2025-12-15 04:00:47,144.81,EUR,express,paid
O0000255,C01489,S001128,PAY0000306,2025-11-09 11:03:00,35.14,EUR,standard,paid
O0000256,C01131,S001129,PAY0000307,2025-11-18 16:48:08,100.37,EUR,standard,paid
O0000257,C01131,S001129,PAY0000308,2025-12-22 03:47:10,63.75,EUR,express,paid
O0000258,C01131,S001129,PAY0000309,2025-12-26 19:20:34,119.36,EUR,standard,paid
O0000259,C00180,S001131,PAY0000310,2025-11-03 20:56:26,120.6,EUR,express,paid
O0000260,C01669,S001149,PAY0000312,2025-11-03 12:28:11,65.36,EUR,pickup_point,paid
O0000261,C01669,S001149,PAY0000313,2025-11-26 20:34:42,100.38,EUR,pickup_point,paid
O0000262,C00162,S001172,PAY0000316,2025-11-17 18:20:14,45.83,EUR,pickup_point,paid
O0000263,C00162,S001172,PAY0000317,2025-12-06 08:11:17,78.6,EUR,express,paid
O0000264,C01981,S001179,PAY0000318,2025-12-05 04:43:51,40.45,EUR,express,paid
O0000265,C01273,S001183,PAY0000319,2025-11-15 06:23:43,89.27,EUR,standard,paid
O0000266,C01273,S001183,PAY0000320,2025-12-12 02:13:11,109.92,EUR,standard,paid
O0000267,C01273,S001183,PAY0000321,2025-11-18 23:12:37,45.98,EUR,pickup_point,paid
O0000268,C02486,S001185,PAY0000322,2025-12-04 20:13:03,55.27,EUR,express,paid
O0000269,C02486,S001185,PAY0000323,2025-12-05 23:50:57,50.21,EUR,standard,paid
O0000270,C01601,S001187,PAY0000324,2025-11-06 21:11:28,107.15,EUR,pickup_point,paid
O0000271,C01601,S001187,PAY0000325,2025-12-10 10:31:46,68.35,EUR,express,paid
O0000272,C01601,S001187,PAY0000326,2025-11-13 01:11:41,56.56,EUR,standard,paid
O0000273,C00687,S001194,PAY0000327,2025-12-14 00:40:50,89.25,EUR,standard,paid
O0000274,C00687,S001194,PAY0000328,2025-12-01 22:42:30,53.71,EUR,standard,paid
O0000275,C00687,S001194,PAY0000329,2025-11-01 03:54:43,60.84,EUR,standard,paid
O0000276,C01689,S001196,PAY0000330,2025-12-06 15:39:43,40.38,EUR,pickup_point,paid
O0000277,C02000,S001197,PAY0000331,2025-12-06 17:29:37,97.26,EUR,pickup_point,paid
O0000278,C00217,S001200,PAY0000332,2025-11-01 12:17:15,40.8,EUR,standard,paid
O0000279,C00240,S001205,PAY0000333,2025-11-16 20:35:34,127.08,EUR,express,paid
O0000280,C00240,S001205,PAY0000334,2025-12-02 12:14:47,74.26,EUR,express,paid
O0000281,C01249,S001208,PAY0000336,2025-11-01 17:30:57,66.29,EUR,express,paid
O0000282,C01249,S001208,PAY0000338,2025-11-04 04:12:34,36.39,EUR,pickup_point,paid
O0000283,C00601,S001216,PAY0000339,2025-12-26 23:57:04,37.62,EUR,express,paid
O0000284,C01828,S001222,PAY0000340,2025-12-26 20:20:46,102.69,EUR,express,paid
O0000285,C01828,S001222,PAY0000341,2025-11-08 22:39:07,44.05,EUR,express,paid
O0000286,C00391,S001228,PAY0000342,2025-12-19 00:11:14,47.82,EUR,express,paid
O0000287,C00949,S001232,PAY0000343,2025-11-11 14:50:55,54.63,EUR,pickup_point,paid
O0000288,C00473,S001238,PAY0000344,2025-11-21 22:02:43,110.66,EUR,express,paid
O0000289,C01514,S001244,PAY0000346,2025-12-08 01:31:17,62.58,EUR,standard,paid
O0000290,C01736,S001250,PAY0000348,2025-11-18 00:52:52,78.99,EUR,pickup_point,paid
O0000291,C00042,S001251,PAY0000349,2025-11-07 05:25:29,42.47,EUR,express,paid
